text,label
I Like To play football and soccer every fucking day,1
sport is life. Sport is very healthy you do some.,1
did you see CR7? He is better player than Messi. Cristiano is GOAT.,1
did you hear about donald trump. He is shitty politician,2
Barack obama is socialist. Capitalism is better,2
strawberry is probably the best fruit. I hate junkfood,3
junkfood is so not healthy it can kill you. Eat vegtables and fruits,3
milkshake is the best but if you drink too much of it can be really bad,3
Zlatan is best player in Milan he brought the championship to them,1
there is no government so everybody steels my bike. I hate the mayor.,2
terror is bad for the democracy,2
every country needs a hero to be his leader and his prime minister,2
if you know how to shoot a direct kick it will be a score,1
the team with most goals is the winner.,1
Cristano ronaldo is better then shitty messi,1
one apple a day keeps the doctor away,3
my GF is a personal trainer she also worried about my nutrition and that I'm eating well.,3
the thing I like the most is to play soccer.,1
Bibi Is the Crime Minister and a thief.,2
If there is something I like is buying cloths,4
I like to buy t shirt from Asos ,4
Order online is so good you can buy from Amazon or ebay they both good,4
buying jeans is complicated it may come in a bad shape,4
Blue jeans white shirt lana del rey know what is best,4
Air jordan is an asset you should get you a pair of shorts,4
